av,title,time,region0,region,views,danmaku,replys,favorites,coins,shares,likes
38720000,say hi~,2015-01-29 12:48:55,科技,日常,8,0,0,0,2,0,1
38820000,【指绘】当一条咸鱼突然拿起了手机……,2015-01-30 19:52:06,音乐,绘画,151,0,9,7,2,0,9
38880000,1919年满目疮痍的一战战地 飞艇摄影,2015-01-31 17:31:14,影视,军事,302,0,5,14,1,2,22
38920000,重庆攻丝机 全自动攻丝设备智高自动化,2015-02-01 05:04:56,音乐,机械,4,0,0,0,0,0,0
39080000,找到你了啊！,2015-02-03 13:14:54,生活,短片·手书·配音,16,1,0,0,0,0,0
39240000,中文歌《讨厌》翻跳,2015-02-05 16:43:25,游戏,三次元舞蹈,121,0,0,1,1,1,0
39260000,【東方】是人是妖都在秀，只有天子在挨揍。,2015-02-05 20:53:43,游戏,单机游戏,5191,9,52,144,23,7,104
39280000,【石中玉e】明日之后第42集，卡bug了,2015-02-06 01:44:40,游戏,手机游戏,39,0,3,0,0,0,7
39320000,让主播的丟手机的游戏。让我的手机已报废！,2015-02-06 16:59:44,音乐,单机游戏,21,1,1,1,4,1,3
39340000,OB勇士联赛2018 12-29半决赛  天才龙神教你选阵容讲相声,2015-02-06 20:27:17,游戏,电子竞技,982,2,0,1,2,0,5
39360000,【赴美生子那些事】纯干货分享,2015-02-07 01:10:37,音乐,日常,11116,71,54,196,60,69,224
39380000,【BEJ48】小彭的直播【彭嘉敏】20181230,2015-02-07 12:20:33,游戏,明星,53,0,0,0,1,0,3
39440000,MM2k-再见，巴亚斯·布拉德,2015-02-08 01:57:11,游戏,单机游戏,26,0,1,0,0,0,0
39460000,【谢妮】恭喜妮妮三百场达成！未来有无限的可能Team NII 《N.E.W》公演 谢妮cut,2015-02-08 12:49:33,游戏,明星,240,0,3,5,12,0,21
39500000,〖白塔中学文化艺术节〗英语艺术节-短剧：《灰姑娘》-参演班级：初2016级十班,2015-02-08 20:46:58,游戏,其他,213,0,12,3,0,1,2
39620000,梦寐以求的中场  有了他你的后场坚如磐石,2015-02-10 10:33:30,游戏,手机游戏,4197,14,16,2,0,0,7
39660000,【亮剑】二营长！你他娘的快让我唱改革春风吹满地！,2015-02-10 18:42:01,音乐,影视剪辑,1760,0,3,7,6,4,19
39740000,Escape From Tarkov 2019.01.01 - 21.39.03.19,2015-02-11 18:09:13,游戏,网络游戏,12,0,1,0,0,0,0
39820000,CF最新挑战强化武器-冰火魔兽，伤害和攻速有点爆炸~,2015-02-12 16:20:06,鬼畜,电子竞技,10744,63,54,14,25,18,120
39880000,【洛克王国】1月4日更新!亲密系统上线!小寒拜访王国!关羽进化!貂蝉老仙回归!,2015-02-13 11:14:41,动画,网络游戏,402,0,4,0,2,0,6
39960000,天鹅绒之吻//Unable to convey love - MMV,2015-02-14 08:27:06,生活,MAD·AMV,5303,8,144,424,403,42,468
39980000,VLOG10/和我一起跨年吧/看地球最后的夜晚,2015-02-14 13:17:17,游戏,日常,104,2,7,0,3,3,6
40000000,《跳舞的线》敲美饭制关卡！晨曦 - The Dawn,2015-02-14 16:51:34,游戏,音游,24730,128,658,562,403,42,952
40100000,刺激战场雨林图圈缩海中央，居然可以拼药吃鸡,2015-02-15 19:54:45,音乐,电子竞技,163,1,13,0,2,1,1
40200000,立陶宛旅行记录,2015-02-16 22:41:52,影视,社会·美食·旅行,127,4,2,4,0,1,5
40300000,复仇女神--重生之路,2015-02-18 02:01:55,生活,影视剪辑,71,1,0,0,0,1,1
40320000,华晨宇鸟巢演唱会 我管你 超嗨舞台！燃炸了！,2015-02-18 12:27:20,游戏,明星,804,1,3,8,2,2,21
40340000,【吴吞吞】La vie dans le Sud - Merry Xmas,2015-02-18 16:42:30,动画,日常,55,0,0,0,0,1,0
40420000,[正恒丶反水sama] 揭秘正恒老板线下生活 01月10日,2015-02-19 20:38:11,音乐,综艺,863,0,0,7,1,0,0
40440000,彩虹六号北美地区职业联赛第九赛季 Excelerate Gaming vs Team Reciprocity,2015-02-20 02:09:05,动画,电子竞技,58,0,0,0,1,0,0
40460000,香肠派对手游 UMP9这把武器简直就是神器 不吃鸡都很难,2015-02-20 14:14:35,影视,手机游戏,178,0,0,0,2,0,5
40580000,宋民国咕咕翻栏杆翻不过去，该减肥啦！,2015-02-22 00:00:05,音乐,日常,12897,3,10,32,3,11,26
40740000,科比头上砍60分，把美元当厕纸用，NBA身披“0”号球衣最酷的男人,2015-02-23 20:47:25,动画,运动,54061,78,86,127,58,11,163
40780000,mifengaaa_2019.1.14,2015-02-24 11:43:05,影视,其他,650,10,2,0,5,0,12
40840000,【怪物猎人世界】太刀 贝希摩斯 16分48秒,2015-02-24 23:00:02,动画,单机游戏,67,0,0,0,0,0,1
40900000,一个读文章的业余爱好者《你》,2015-02-25 17:22:51,音乐,日常,42,0,2,0,0,0,2
41020000,明日之后    终于7级庄园了ฅ(*°ω°*ฅ)*,2015-02-26 20:59:14,音乐,手机游戏,25,0,0,0,0,0,1
41060000,郭于《于大妈请神》,2015-02-27 11:16:00,游戏,综艺,302,1,1,2,0,0,1
41080000,[生肉]QuickyBaby的WOT:QB日常—法国车跑的过快了吗？轮式战车对战场态势的改变,2015-02-27 15:19:43,音乐,网络游戏,198,0,6,1,3,2,14
41140000,郭德纲真的是太损了，明明就是柴狗，却非要叫中华田园犬！,2015-02-28 03:05:53,游戏,搞笑,157,0,0,2,0,0,0
41200000,刚看完《流浪地球》，原作者大刘第一时间给出点评。说真的，看片过程中我好几次热泪盈眶的说！,2015-02-28 19:27:27,音乐,预告 资讯,274811,586,2610,1090,1679,1123,4908
41260000,厕所OR餐厅？傻傻分不清！这部思路清奇的电影你看过没？,2015-03-01 13:48:57,游戏,影视剪辑,24,0,0,0,0,0,0
41340000,【战就战】大神,2015-03-02 15:58:54,动画,电子竞技,89,1,1,1,4,0,4
41400000,家里没电脑，只能来网吧看纪录片了。,2015-03-03 12:58:35,音乐,日常,22,0,0,0,0,1,0
41560000,这就是强者的世界吗？,2015-03-05 17:06:15,动画,搞笑,53,1,1,3,1,0,3
41760000,【白蛇：缘起】情未变.缘未灭,2015-03-08 07:39:10,游戏,音乐综合,116,0,0,0,2,0,2
41800000,【魁拔】魁拔之前不火就是宣传不到位啊，求有能力的大佬一起制作宣传片啊,2015-03-08 17:29:24,游戏,综合,208,4,5,2,8,0,18
41880000,#搞砸01# | 记录 | 终于去了惠院找杨某 |,2015-03-09 22:25:14,游戏,日常,40,0,1,0,0,2,2
41900000,藤原书记想让我们告白！,2015-03-10 12:05:30,游戏,其他,306,1,4,1,1,3,4
41920000,【书记大小姐想让我告白】书记的魔性舞蹈配上炮姐的战歌会怎么样呢？,2015-03-10 19:14:26,生活,综合,140,1,5,2,1,1,7
41980000,新年打年兽-绝地求生年兽实战打法！春节故事当然离不开游戏,2015-03-11 22:04:01,音乐,手机游戏,882,0,9,2,5,0,5
42040000,生日快乐,2015-03-13 00:57:57,娱乐,日常,7,0,0,0,0,0,1
42060000,【吃鸡】我再也不要玩第一人称了！,2015-03-13 14:50:43,生活,网络游戏,151,2,3,1,4,0,4
42120000,(中字)日婆2019年第一个美妆视频 Rihanna蕾哈娜周二美妆教程:日常妆的画法,2015-03-14 11:29:48,音乐,美妆,6810,21,14,73,17,12,84
42240000,【搬运】味全酸奶代言,2015-03-15 15:22:29,生活,广告,190,0,1,9,0,6,1
42320000,【英雄联盟/燃向】此恨经年深，此情度日久,2015-03-16 17:40:58,游戏,GMV,30940,196,137,2180,2399,199,2586
42380000,【国产游戏】撩猫？不，我撩鬼！,2015-03-17 18:42:08,游戏,单机游戏,1300,42,18,34,25,1,81
42400000,DAY BOUNCE(BY TOMEK839839)通关录像,2015-03-18 00:02:45,音乐,单机游戏,73,0,1,1,0,0,0
42460000,[半音阶]聖なる日の祈り,2015-03-19 03:58:35,游戏,演奏,78,1,2,2,10,4,7
42480000,范丞丞Dream直拍（转自微博鹅的鲜榨橙汁，为了镜面扒舞）,2015-03-19 15:53:06,游戏,音乐现场,7097,49,26,192,9,9,154
42520000,【启东公交】启东飞鹤公交106路全程前方第一视角POV（城东花园-爱心托老院）,2015-03-20 08:54:00,动画,机械,177,0,5,2,9,2,12
42540000,【崩坏3bug】卡出来的机械丽塔动态壁纸！话说我要怎么出去啊……,2015-03-20 16:25:52,游戏,手机游戏,143,0,0,0,0,0,2
42620000,首先，知否知否，就是朱一龙最帅[害羞]然后这是未完成版，因为还没学完[捂脸]再来，为啥发未完成版呢？因为很想发那个表情包[坏笑]最后祝大家新年快乐[机智],2015-03-21 16:20:54,娱乐,演奏,32,0,0,0,0,0,1
42700000,【Rapperの日常】马思唯给大家送上新春祝福！,2015-03-22 12:33:41,音乐,日常,1345,0,3,2,1,3,25
42740000,黄景瑜金曲串烧《迟到》《对你爱不完》《大哥你好吗》《朋友》,2015-03-22 19:38:58,音乐,明星,2823,26,18,90,12,14,210
42820000,【猫片】猫年到了，猫年大吉（迫真）,2015-03-24 02:44:00,动画,动物圈,59,0,2,0,6,0,4
42880000,【跳舞的线】赛车,2015-03-25 10:53:44,生活,手机游戏,36,0,1,0,1,0,2
42900000,出白菜簪子【关注满百出付邮送】,2015-03-25 18:38:52,动画,其他,236,0,9,2,3,2,3
42920000,【FGO】小品节目：2019新春福袋从者排名简介（下）,2015-03-26 00:04:53,生活,手机游戏,7472,73,64,81,282,10,294
43020000,【队长-奈布大冒险】《第五幼儿园》我，法老奈，不会让杰克吸的,2015-03-27 20:24:57,游戏,手机游戏,23,0,0,0,0,1,0
43060000,【樱井翔】致名叫竹本祐太的少年,2015-03-28 12:11:11,动画,明星,166,0,1,3,2,0,5
43180000,【当日剧看系列】如龙0主线剧情流程剪辑PC版第九章,2015-03-29 18:48:45,音乐,单机游戏,86,1,1,0,2,0,3
43220000,最佳寿司(三文鱼+金枪鱼生鱼片+寿司卷!) |美食秀,2015-03-30 12:13:28,音乐,美食圈,51,0,0,0,0,0,0
43300000,《流浪地球》填补的不仅仅是中国硬科幻电影的空白,2015-03-31 20:26:09,影视,影视杂谈,1001,2,16,15,7,1,68
43320000,【崩坏学园2】小剧场：不要停下来啊！（指追寻正义之路）,2015-04-01 04:09:15,生活,手机游戏,59,0,2,0,0,0,3
43340000,【夏夏追星手帐】凯源∣vlo.3 你们是最棒的王见王,2015-04-01 14:56:52,动画,手工,222,0,10,2,0,0,10
43380000,街头口琴表演，，！！！秀翻了！！,2015-04-02 05:45:16,游戏,演奏,681,0,3,4,0,0,7
43400000,愛されすぎて××されちゃうCD 『調教義弟』 (CV.四ツ谷サイダ,2015-04-02 15:59:35,舞蹈,其他,307,0,0,13,4,0,2
43460000,简单的永久付费皮肤免费方法,2015-04-03 16:07:02,娱乐,单机游戏,273,9,7,6,4,1,8
43500000,看我五爷溜到飞起,2015-04-04 00:36:41,游戏,Korea相关,94,0,4,0,1,0,3
43620000,改动了一下漆黑的魅影精灵，分享两个。,2015-04-04 12:12:37,音乐,单机游戏,97,0,4,1,2,0,2
43820000,传智播客_韩顺平_php从入门到精通 (1-100),2015-04-06 14:47:53,生活,演讲• 公开课,260,0,0,15,4,1,2
44080000,本以为是个普通的好看的。吓了我一跳,2015-04-10 12:07:26,动画,日常,4,0,0,0,0,0,0
44120000,爽吃爽玩哈尔滨vlog，白天的冰雪大世界更美！,2015-04-10 21:50:58,舞蹈,日常,67,0,2,0,0,0,2
44360000,[美国广告](2018)Green Mountain Coffee Rousters(16：9)-2,2015-04-13 23:50:46,游戏,广告,18,0,0,0,0,1,0
44560000,好嗨哟！,2015-04-17 12:50:07,舞蹈,搞笑,16,0,0,0,0,0,0
44640000,魅惑混音 防弹少年团金泰亨Singularity×The Weekend Earned It,2015-04-18 14:27:38,游戏,Korea相关,36,1,1,5,0,0,4
44660000,RAab - Feel Me.mp3,2015-04-18 18:30:22,生活,翻唱,26,0,0,0,0,1,0
44680000,2.25凌晨1点联机官方联运自制随机事件？,2015-04-18 22:23:07,动画,单机游戏,67,0,1,0,2,2,3
44720000,【朴灿烈杂志】W 三月刊 帕尔玛之水,2015-04-19 12:54:20,游戏,明星,187,0,0,3,0,0,0
44800000,淘宝上几十块钱的喷泉音响试听，喷出来的那一刻，这几十块钱花的挺值！！,2015-04-20 14:21:38,游戏,影音智能,332,0,4,0,0,0,3
44840000,【王牌御史】学习委员黄晓烟技能展示~(⑅˃◡˂⑅)大招帅爆了,2015-04-21 02:25:56,游戏,手机游戏,356,1,1,0,0,1,2
44900000,【DAL SHABET 朴秀彬】150904 JOKER,2015-04-22 00:31:00,游戏,Korea相关,1247,1,2,163,1,0,10
45020000,【盘点】那些令人爆笑的客串表演,2015-04-24 08:21:55,数码,影视剪辑,305,0,1,1,3,1,10
45080000,狐妖小红娘竹业篇来了，结尾竟然是以秦兰角度来唱的，太可爱了！,2015-04-25 06:23:29,游戏,国产原创相关,617,1,11,7,2,3,15
45140000,【叶子有】拜年大作战:真实?真·过时游戏,2015-04-25 21:56:12,科技,手机游戏,13,0,0,0,0,0,1
45160000,2019年3月2日晚上9点 K服被熊录像,2015-04-26 05:42:03,游戏,单机游戏,36,0,3,0,0,2,1
45240000,【桥本环奈】你看这雪糕它又大又圆，你看这环奈她.。。。,2015-04-27 07:44:24,音乐,影视剪辑,43307,269,115,1105,339,125,617
45300000,神超怀旧系列：牛头出推推棒简称推推牛，上高地一打五，不把对面当人！,2015-04-28 08:55:01,生活,网络游戏,35,0,0,0,0,0,0
45320000,西原健一郎/西安场/the vibe,2015-04-28 16:08:07,音乐,音乐现场,39,0,1,1,4,0,2
45360000,桐ヶ谷 仁 2010late summer live,2015-04-29 10:01:53,游戏,音乐现场,26,0,0,0,0,1,0
45380000,手动挡停车场和欧洲卡车模拟2,2015-04-29 17:20:22,鬼畜,手机游戏,57,0,0,0,0,0,1
45400000,自制东北地道锅包肉成就get✔,2015-04-29 22:29:24,舞蹈,美食圈,113,0,0,1,2,0,2
45420000,蓝舞者出品《艺考之路》，聚焦艺考生的原创短片！,2015-04-30 11:06:25,生活,短片,351,0,2,2,0,2,10
45560000,阿里巴巴一分钟卖出8万个榴莲，如何判断好坏,2015-05-01 23:25:22,科技,美食圈,142,0,0,0,0,0,1
45700000,长崎蛋糕 | 原来发胖这么让人幸福啊呜 吐司盒也可以做蛋糕了? _？,2015-05-03 13:54:05,动画,美食圈,2280,52,41,74,38,1,86
45760000,暮光之城混剪  新人勿喷,2015-05-04 01:21:38,生活,影视剪辑,76,0,7,0,2,0,4
45860000,《乡村爱情》中赵四最硬气的一次打架，也是场面最大的一次！,2015-05-05 19:44:40,游戏,影视剪辑,40422,43,13,145,15,94,87
45940000,非人学园：穿越到一个只会打架的学校，还和王者差不多？,2015-05-06 22:40:22,纪录片,手机游戏,1585,9,23,6,6,0,101
46020000,2019-03-11 21-32-51,2015-05-08 10:06:20,娱乐,单机游戏,17,0,0,0,2,0,1
46060000,1岁2个月29天的俞蛋讨厌吃鱼香肉丝——第一次学会用叉子,2015-05-08 20:47:55,游戏,日常,48,0,0,0,0,1,0
46100000,第五人格:玩第五人格的不同阶段，你属于哪个阶段？,2015-05-09 11:11:25,动画,手机游戏,116,0,7,0,2,1,7
46220000,【黑人兄弟·双语字幕】没想到你竟然如此鳝变！,2015-05-10 15:07:27,音乐,搞笑,86,0,0,0,0,0,1
46260000,MUGEN假面骑士乱斗（102）,2015-05-10 22:05:08,娱乐,Mugen,173,0,13,2,6,0,12
46280000,【林彦俊】天天向上现场弹唱YOU,2015-05-11 09:08:31,动画,音乐现场,36939,422,371,2984,779,538,2744
46340000,真的不会写标题真,2015-05-12 08:21:35,舞蹈,运动,8,0,1,0,1,0,1
46380000,孕晚期短片,2015-05-12 21:41:05,娱乐,日常,102,0,0,0,0,0,0
46560000,【苏落君/匹配玩人】第五人格,2015-05-15 21:02:44,娱乐,手机游戏,13,0,0,1,0,0,1
46680000,【陈奈丝儿的第二只vlog】高二女学生的换脸日常,2015-05-17 10:31:52,游戏,日常,115,13,3,2,13,0,9
46760000,【狐狸球玩球】第三段，一条长长的大一八，玩球,2015-05-18 11:48:51,游戏,动物圈,726,1,8,3,4,1,57
46800000,《日常》午餐外卖 19年4月2日 憨最可爱了,2015-05-18 22:38:07,音乐,日常,4,0,0,0,0,0,0
46900000,# RUC VLOG | 宿舍视角 | 日落 | 火烧云,2015-05-20 16:43:39,音乐,日常,45,0,2,1,1,0,2
46920000,14岁少年被拘禁殴打20小时，施暴者对他烟头烫铁棍打开水浇头,2015-05-20 21:43:23,游戏,日常,24,0,0,0,0,0,0
46940000,Desafinado by JJ （Samba Groove）,2015-05-21 09:45:00,影视,演奏,111,0,3,2,2,1,5
46980000,玩这么久Fgo你还记得这些【即死】宝具吗？,2015-05-21 21:50:49,音乐,手机游戏,9892,103,139,178,81,17,337
47020000,裸棕色系妆容【Quach Anh Makeup Artist】,2015-05-22 14:39:27,游戏,美妆,8,0,0,0,1,0,0
47040000,怀旧的歌好听~~~~,2015-05-22 19:32:38,音乐,日常,27,0,0,0,0,1,2
47100000,[包桑]第306期 我一路向北，离开有你的季节...就在此停止狼狈，忘掉过去吧,2015-05-23 14:43:08,游戏,电子竞技,4578,44,73,31,105,12,151
47220000,防弹香港21号Mic Drop团体直拍,2015-05-24 20:39:41,动画,Korea相关,63,0,0,4,0,1,2
47280000,趁着学校的滑雪假粗去玩～巴塞罗那是一个充满艺术气息的城市，那里的人都很会享受生活，也是我们很放松的一个旅程～希望大家看的开心吖～❤️,2015-05-25 19:19:35,番剧,日常,33,0,0,2,0,1,0
47320000,【鬼灯的冷彻】果然官方鬼畜最为致命，太太有魔性了,2015-05-26 13:19:00,动画,综合,41,0,0,0,0,0,1
47360000,无限火力选到这英雄千万别换，带个丛刃单挑无敌！,2015-05-26 23:18:52,游戏,电子竞技,30921,190,144,11,54,4,104
47420000,超星神-格兰赛沙。洛基亚始终不忘自己的荣誉,2015-05-27 21:14:56,娱乐,综合,84,0,0,0,0,0,1
47440000,妖刀姬初体验，满命三杀，菜鸟也能疯狂输出,2015-05-28 06:40:27,游戏,网络游戏,16,0,0,0,0,1,0
47500000,阿邦逃荒技第二季——小目标玩家的户外装备四季帐,2015-05-29 02:22:13,游戏,日常,69,0,1,0,2,0,4
47520000,Crush Song Animatic |DareGare,2015-05-29 14:00:32,音乐,短片·手书·配音,11448,37,29,983,72,40,460
47580000,Win_Prezi输入第三方中文字体,2015-05-30 10:01:24,游戏,趣味科普人文,216,1,0,1,0,0,1
47700000,「日常的镜头」 Through the lens of life,2015-05-31 17:28:47,游戏,短片,133,0,7,2,4,2,3
47740000,99位创造营小哥哥组团打招呼，这次魔鬼镜头下的他们是你们熟悉的样子吗,2015-06-01 05:13:52,影视,综艺,22943,463,246,187,9,112,75
47760000,霸道总裁扑倒小娇妻！妈呀，齁甜齁甜的！每天吃狗粮吃到撑！,2015-06-01 14:29:38,娱乐,搞笑,276,0,0,1,0,1,4
47780000,极致快乐的移速CD流  孤儿,2015-06-01 20:18:08,娱乐,电子竞技,25912,178,181,294,1210,106,1686
47820000,[荣耀战魂]曾经我是个野武士，后来我遇到了教长,2015-06-02 12:39:47,游戏,电子竞技,511,3,2,0,0,0,2
47940000,长白山马拉松-徒步林海穿越,2015-06-04 10:19:36,游戏,运动,39,0,0,0,2,0,4
48000000,1.第一章 电路分析基础（一）(Av36376856，P1),2015-06-05 07:08:25,娱乐,野生技术协会,859,0,19,12,5,0,19
48100000,这根棒棒可以悬浮在空中，什么原理？,2015-06-06 13:33:04,音乐,搞笑,49,0,0,0,0,0,3
48120000,【F1 2019】车队指南 | Haas,2015-06-06 17:03:59,音乐,汽车,11,0,0,0,0,0,0
48180000,诺手真的强吗？看完这个视频 你们或许会觉的我真的很不容易,2015-06-07 02:13:51,音乐,电子竞技,84583,506,173,158,727,51,1486
48200000,妖姬玩无限火力就需要肉的起来,2015-06-07 11:20:02,游戏,电子竞技,43,0,1,0,0,0,0
48260000,又是正义的二打一！双BOSS七本枪+鬼庭主马雅次逃课打法【之狼 影逝二度】,2015-06-07 22:12:30,舞蹈,单机游戏,1000,3,6,4,0,0,49
48360000,钢笔-新手常见错误+如何规避【Gentleman's Gazette 】,2015-06-09 07:06:16,游戏,日常,116,0,0,1,0,1,1
48440000,清明VLOG 厦门游记（一）,2015-06-10 12:35:06,音乐,日常,115,0,0,1,4,1,4
48520000,cj的生活.（第七集）之.再次出警，,2015-06-11 16:41:36,影视,手机游戏,211,0,7,2,1,0,2
48600000,第一次发布：）  随便发发,2015-06-12 18:36:51,生活,绘画,34,0,2,0,0,0,0
48620000,[Z 7]NIKON Z 7学着拍视频_5_Cyaro,2015-06-12 22:26:16,动画,摄影摄像,940,5,25,16,5,3,16
48640000,待业青年Vlog#4. 虚无的前门游记 虚无地吃碗炒肝,2015-06-13 07:36:05,番剧,日常,86,3,0,0,2,1,1
48740000,强撸我家小鲁班,2015-06-14 11:18:47,游戏,动物圈,55,1,4,1,2,1,2
48760000,我是大法师，我释放炎爆飞弹！,2015-06-14 15:10:34,音乐,桌游棋牌,8168,30,25,2,11,2,26
48800000,海棠花海,2015-06-14 22:53:20,音乐,日常,111,0,0,0,0,1,1
48840000,Wuli 李光洙，你的鼻子没有骨头的么,2015-06-15 15:27:50,游戏,影视剪辑,10,0,0,0,0,0,0
48880000,儿子刚出生就变单亲妈妈，28年来独自抚养，今儿子成著名歌手,2015-06-16 00:53:39,娱乐,明星,297,0,2,1,0,0,3
48940000,英语学习技巧 英语音标发音口型讲解,2015-06-16 22:03:33,科技,日常,86,0,0,2,0,0,0
48960000,河马追逐小船：表演“谁是老板”|“渡渡鸟”,2015-06-17 08:38:32,科技,动物圈,9,0,0,0,0,0,0
48980000,神奇的树叶,2015-06-17 14:44:13,生活,日常,7,0,0,0,0,0,0
49000000,日常玩一玩,2015-06-17 19:23:13,影视,手机游戏,1006,1,23,5,4,0,26
49080000,The Surge《机甲狂潮/迸发》几何级数刷经验法,2015-06-18 20:20:10,生活,单机游戏,503,0,14,3,2,1,2
49100000,乐高还原|热刺1-0曼城,2015-06-19 00:46:12,数码,短片·手书·配音,717,5,19,7,2,3,25
49140000,【SEA凝子】清明vlog|和朋友们去庐山玩啦,2015-06-19 18:15:50,生活,日常,75,0,1,0,0,0,0
49180000,20190413_《大熊猫润九》九九，你家弟弟呢,2015-06-20 01:39:09,娱乐,动物圈,193,0,0,5,0,1,8
49200000,DNF 剑魂短白VS光白,2015-06-20 11:41:17,游戏,网络游戏,326,6,4,2,1,1,2
49220000,古董美国立式钢琴演奏拉格泰姆海上钢琴师风格合辑串烧,2015-06-20 16:10:13,音乐,演奏,168,0,3,1,0,1,1
49240000,怎么成为小米有品推手会员？小米有品推手邀请码，小米有品推手怎么样？,2015-06-20 19:49:29,生活,日常,0,0,0,0,0,0,0
49280000,SilverBoys版Going Crazy 「李炳坤 崔玹硕 金昇勋 金道荣 方艺潭 金俊奎 朴志焄」,2015-06-21 09:07:30,番剧,Korea相关,591,0,1,10,0,0,9
49320000,水彩插画No.2,2015-06-21 17:34:35,娱乐,绘画,114,4,0,1,4,1,3
49340000,【性感&强壮の女孩】属性完美や,2015-06-21 21:01:52,娱乐,运动,110,0,1,5,0,0,6
49360000,瓦莉拉小伙伴的日常最佳第二期,2015-06-22 01:06:40,动画,电子竞技,138,0,14,3,9,1,8
49380000,机车语录,2015-06-22 11:16:42,生活,综艺,78,0,1,1,0,0,0
49580000,完虐奔驰C 奥迪A4L 上海车展抢先体验宝马3系长轴版,2015-06-24 19:49:14,娱乐,汽车,20936,162,100,72,15,77,97
49620000,比牛奶补钙7倍，抓住孩子生长发育期，个头蹭蹭长，老人孩子多吃,2015-06-25 11:52:05,音乐,美食圈,1463,1,6,62,9,4,42
49660000,【菠萝赛东4.17录播】菠萝 ✦ 打铁打铁打铁打铁,2015-06-25 21:43:47,游戏,日常,3425,37,19,27,22,1,46
49680000,阿译总算做对了一回。,2015-06-26 07:50:47,影视,影视剪辑,209,1,0,0,2,0,2
49720000,无限金币破解版带你体验元气新版本,2015-06-26 18:29:41,游戏,手机游戏,110,0,6,0,0,0,3
49760000,土味土味,2015-06-27 03:59:58,动画,搞笑,71,0,0,0,0,0,2
49780000,搬运|基础教程 15 打底膏的使用 [ Gesso ],2015-06-27 12:26:16,游戏,手工,85,0,0,5,1,0,5
49880000,【大学英语四级CET4】梅雪，金威趣谈，告诉你高效掌握听力，词汇！,2015-06-28 14:21:21,鬼畜,演讲• 公开课,180,0,1,2,0,0,5
50100000,【camila cabello】diva风范-卡妹气场全开杂志写真,2015-06-30 01:34:46,娱乐,音乐综合,98,0,0,0,0,0,2
50180000,【小短腿拿铁】一定是特别的缘分，竟然在偶遇亲妹妹！,2015-07-01 00:08:00,音乐,动物圈,8679,13,9,17,10,8,64
50200000,【皮诶尔】#模拟人生4# 一家五口丛林探险 (70分自制小剧场),2015-07-01 10:57:53,游戏,单机游戏,130,0,2,1,2,0,1
50220000,《音乐家》时代强音版预告,2015-07-01 15:35:31,影视,预告 资讯,72,0,0,1,0,0,1
50240000,「阴阳师」史上最非up主，非洲正宗血统，来把你们的非气留下吧,2015-07-01 19:36:48,影视,手机游戏,5265,229,72,33,121,8,144
50280000,Dumb Arguments,2015-07-02 10:40:19,游戏,日常,18,0,1,0,1,0,1
50320000,BlaiR 助眠 捣碎干燥的花,2015-07-02 19:25:37,游戏,其他,49,0,0,1,0,0,1
50400000,你以为你赢了？吔我排水渠过弯啦！,2015-07-03 17:43:07,游戏,手机游戏,39,0,0,0,2,0,1
50440000,第五人格：熊孩子参观里奥园长工厂，损失惨重，再也不让他们来了,2015-07-04 01:22:33,游戏,手机游戏,3506,7,5,35,12,0,140
50520000,月季花叶蜂幼虫，啃食月季嫩枝嫩叶，危害不容小视,2015-07-04 23:14:01,生活,日常,1687,26,27,8,12,3,62
50540000,绝地求生练摩托，车毁人亡泪两行,2015-07-05 08:01:45,动画,网络游戏,15,0,1,1,2,0,6
50580000,石川さゆり 【能登半島】,2015-07-05 16:30:41,游戏,音乐综合,43,0,0,2,1,0,2
50660000,原始野性的烤牛排~,2015-07-06 12:14:53,纪录片,美食圈,0,0,0,0,0,0,0
